urn:cts:greekLit:tlg5026.msA.hmt:1.132 urn:cts:greekLit:tlg0012.tlg001.msA:1.120
urn:cts:greekLit:tlg5026.msA.hmt:1.133 urn:cts:greekLit:tlg0012.tlg001.msA:1.120
urn:cts:greekLit:tlg5026.msA.hmt:1.134 urn:cts:greekLit:tlg0012.tlg001.msA:1.124
urn:cts:greekLit:tlg5026.msA.hmt:1.411 urn:cts:greekLit:tlg0012.tlg001.msA:1.126
urn:cts:greekLit:tlg5026.msA.hmt:1.412 urn:cts:greekLit:tlg0012.tlg001.msA:1.126
urn:cts:greekLit:tlg5026.msA.hmt:1.413 urn:cts:greekLit:tlg0012.tlg001.msA:1.126
urn:cts:greekLit:tlg5026.msA.hmt:1.414 urn:cts:greekLit:tlg0012.tlg001.msA:1.127-1.128
urn:cts:greekLit:tlg5026.msA.hmt:1.415 urn:cts:greekLit:tlg0012.tlg001.msA:1.128
urn:cts:greekLit:tlg5026.msA.hmt:1.416 urn:cts:greekLit:tlg0012.tlg001.msA:1.128
urn:cts:greekLit:tlg5026.msA.hmt:1.417 urn:cts:greekLit:tlg0012.tlg001.msA:1.129
urn:cts:greekLit:tlg5026.msA.hmt:1.418 urn:cts:greekLit:tlg0012.tlg001.msA:1.129
urn:cts:greekLit:tlg5026.msA.hmt:1.419 urn:cts:greekLit:tlg0012.tlg001.msA:1.131
urn:cts:greekLit:tlg5026.msA.hmt:1.420 urn:cts:greekLit:tlg0012.tlg001.msA:1.131
urn:cts:greekLit:tlg5026.msA.hmt:1.421 urn:cts:greekLit:tlg0012.tlg001.msA:1.133-1.134
urn:cts:greekLit:tlg5026.msA.hmt:1.422 urn:cts:greekLit:tlg0012.tlg001.msA:1.136
urn:cts:greekLit:tlg5026.msA.hmt:1.423 urn:cts:greekLit:tlg0012.tlg001.msA:1.137
urn:cts:greekLit:tlg5026.msA.hmt:1.424 urn:cts:greekLit:tlg0012.tlg001.msA:1.139
urn:cts:greekLit:tlg5026.msA.hmt:1.425 urn:cts:greekLit:tlg0012.tlg001.msA:1.143
urn:cts:greekLit:tlg5026.msA.hmt:1.426 urn:cts:greekLit:tlg0012.tlg001.msA:1.147
urn:cts:greekLit:tlg5026.msA.hmt:1.427 urn:cts:greekLit:tlg0012.tlg001.msA:1.148
urn:cts:greekLit:tlg5026.msA.hmt:1.428 urn:cts:greekLit:tlg0012.tlg001.msA:1.149
urn:cts:greekLit:tlg5026.msA.hmt:1.477 urn:cts:greekLit:tlg0012.tlg001.msA:1.151
urn:cts:greekLit:tlg5026.msA.hmt:1.478 urn:cts:greekLit:tlg0012.tlg001.msA:1.153
urn:cts:greekLit:tlg5026.msA.hmt:1.479 urn:cts:greekLit:tlg0012.tlg001.msA:1.154
urn:cts:greekLit:tlg5026.msA.hmt:1.480 urn:cts:greekLit:tlg0012.tlg001.msA:1.159
urn:cts:greekLit:tlg5026.msA.hmt:1.481 urn:cts:greekLit:tlg0012.tlg001.msA:1.160
